# PIPELINE DATA
# FITS FILE: CH_PR100010_TG023201_TU2019-10-06T09-40-30_SCI_RAW_SubArray_V0000.fits
# FLATFIELD FILE: CH_PR100010_TG023201_TU2019-10-06T09-40-30_SCI_RAW_SubArray_V0000.fits
# DISPERSION FOR 6 HOURS AVERAGE FOR POINTS [0,60] (ppm): 15.894
# DISPERSION FOR 6 HOURS AVERAGE FOR POINTS [260,320] (ppm): 19.752
# FLUX	BKG_MODE	BKG_MEAN
1.270407883965599909e+07	5.342650749462988102e+01	8.385704585384038978e+01
1.269595579504303448e+07	5.895700311187338372e+01	8.353768564772494187e+01
1.270197417692107335e+07	5.712357555353482041e+01	8.396159642085214614e+01
1.270512442427805625e+07	5.939567663904088590e+01	8.460342846311100118e+01
1.270709084877418354e+07	5.435774240999281659e+01	8.320694754611625399e+01
1.269957524014707468e+07	5.530896880290909223e+01	8.317563589539793156e+01
1.270143720451198332e+07	5.215565974661888049e+01	8.346705943675223693e+01
1.269825662418824062e+07	5.349848851525569415e+01	8.377602814268934139e+01
1.270522669045586698e+07	5.692931226077588747e+01	8.363654645933652887e+01
1.270334271274170093e+07	5.582482888813774480e+01	8.274284143907502198e+01
1.270568951130692661e+07	5.523747906776032579e+01	8.245650805063424116e+01
1.270974778071891330e+07	5.468712179619694069e+01	8.316306210162571233e+01
1.270743524404722638e+07	5.748971852637234292e+01	8.343390574028292406e+01
1.269480841893113032e+07	5.847017339900403243e+01	8.346205275674920188e+01
1.270065509608453885e+07	5.897822898540391634e+01	8.343965991993783859e+01
1.270491253359884024e+07	5.495360387489681386e+01	8.294313275003010233e+01
1.270100406827301532e+07	5.388132544718652639e+01	8.229896534989022427e+01
1.269923882269073278e+07	4.972887336321304730e+01	8.313708521458002565e+01
1.270792225300358981e+07	5.589826013572001528e+01	8.314963131804960028e+01
1.269924558430008218e+07	5.882357102530927051e+01	8.410332802097545368e+01
1.270900760773982480e+07	5.045945291849440650e+01	8.413516883554392223e+01
1.270686541950880550e+07	5.521610349953061814e+01	8.326414675887178873e+01
1.269657407129499130e+07	6.115961576955854184e+01	8.475423622448585093e+01
1.270559078259407543e+07	5.974290476437619191e+01	8.556790282858472096e+01
1.270990706014948338e+07	6.060468273047220578e+01	8.531281724078547768e+01
1.271251784389099292e+07	5.682320136874341188e+01	8.508659415019836558e+01
1.270145865032447129e+07	5.783620480994548529e+01	8.666152479024169963e+01
1.270730988044897094e+07	5.793303332716465803e+01	8.730874505238332972e+01
1.270933149512377009e+07	6.002850225594727362e+01	8.894398659571642440e+01
1.270611178019670211e+07	6.927755292228712847e+01	9.147353873322533957e+01
1.271076684842411429e+07	6.389162264552026471e+01	9.237807562363154545e+01
1.271731618692579120e+07	5.960887357197393044e+01	9.468288672546016471e+01
1.270216728753463551e+07	6.498967040848448562e+01	9.576783532974965851e+01
1.270803722058525681e+07	7.151901296999412239e+01	9.611182659520909510e+01
1.270605899822361022e+07	6.870102406576525311e+01	9.736530556871373676e+01
1.271299873213165626e+07	7.066240763628071875e+01	9.832310382940140414e+01
1.271579340380795300e+07	7.009609122708191364e+01	9.897527248197852145e+01
1.271769016918380931e+07	6.977022091832461115e+01	9.793322133975377142e+01
1.271433494656285830e+07	6.824838779264459276e+01	9.752895516836920820e+01
1.272017018274440616e+07	6.921051156348997324e+01	9.721646529459812314e+01
1.271937511422361620e+07	7.110135765170412014e+01	9.771288780986370170e+01
1.271946043001968414e+07	7.534269744278714143e+01	9.806334722549493677e+01
1.272303985352490470e+07	6.583604600772898152e+01	9.724562708177751347e+01
1.272627507524604537e+07	6.629011432167288831e+01	9.795733504096874356e+01
1.272305637300432846e+07	7.022532556853116148e+01	9.781323241956042125e+01
1.271890578691588528e+07	6.871205496668957835e+01	9.718522513911685223e+01
1.272339472545335442e+07	6.696707668544948433e+01	9.739711663747588943e+01
1.272800455628696084e+07	6.870684602434134547e+01	9.795662776229460178e+01
1.273098675061025470e+07	6.198662256326945652e+01	9.783333146526948099e+01
1.272695014729671180e+07	6.798387647807062706e+01	9.833621755877983617e+01
1.272631615813595802e+07	6.564038897732389444e+01	9.779790996973862605e+01
1.273197301991523802e+07	6.781756745634899630e+01	9.755409539022370780e+01
1.273722591588875651e+07	6.600302453410282055e+01	9.741595209525166865e+01
1.274071441400311887e+07	6.650089077041458552e+01	9.746927014007472678e+01
1.274033226492287219e+07	6.475524511329410871e+01	9.870584024926237987e+01
1.274530894789052755e+07	6.520000646962449764e+01	9.868327921617566290e+01
1.274463074463758245e+07	6.995817535457663894e+01	9.801512516131990083e+01
1.274731947982277349e+07	6.986427127143920757e+01	9.827145044019341924e+01
1.275624105530212075e+07	6.906499379135829031e+01	9.830318452715607691e+01
1.275566379964822903e+07	6.849935011384398820e+01	9.800685024350305241e+01
1.276751949313068576e+07	6.896951929733782549e+01	9.939566514778584860e+01
1.276611744182769954e+07	7.532824135542124111e+01	9.725079042852182454e+01
1.277811407716414705e+07	6.647964025446296432e+01	9.680370961920057482e+01
1.279351432097323984e+07	6.331180320687895602e+01	9.814000346920515483e+01
1.280879344195003062e+07	6.412204827791023831e+01	9.520801841615801209e+01
1.280391139533108845e+07	6.647282500587390075e+01	9.520204759928351734e+01
1.281950091505757533e+07	6.105834709708935293e+01	9.256771973145288257e+01
1.283170920902128518e+07	6.193900807915245110e+01	9.049916590276158956e+01
1.283067482714050263e+07	5.673444555410995349e+01	8.991011374968707059e+01
1.284213619735095650e+07	5.334072965359104046e+01	8.753707500651360363e+01
1.284844379093903117e+07	5.292495410444011839e+01	8.582574606658509708e+01
1.285397653953864053e+07	5.857269765713398613e+01	8.546958439113400630e+01
1.284962040726733580e+07	5.617918678510466179e+01	8.488791264794264180e+01
1.284999836874818429e+07	5.328840274049513681e+01	8.406575946367638608e+01
1.285463360819845088e+07	5.378291278379010976e+01	8.479026529287177993e+01
1.284782128074696288e+07	5.611290560095989832e+01	8.389690756322706022e+01
1.285885822257958166e+07	5.635525655401193745e+01	8.451912272179441743e+01
1.285212960683916137e+07	5.154404719734390028e+01	8.359617650832440461e+01
1.285580163603873737e+07	5.107414681395914613e+01	8.383730764059438911e+01
1.286100314252997003e+07	5.035517666258337499e+01	8.396552174234315657e+01
1.284683327667489089e+07	5.795513812490383998e+01	8.504657619794284074e+01
1.285881186846658587e+07	5.066292662598812768e+01	8.466993169536642938e+01
1.285121526939234883e+07	5.288080566321276166e+01	8.476050521388678760e+01
1.285190527366638929e+07	5.376608708901954259e+01	8.440102343726671563e+01
1.284629377731675282e+07	5.609677975853449539e+01	8.390023244955948201e+01
1.285066898547441326e+07	5.378794564800549693e+01	8.280850346848512800e+01
1.285051221083815768e+07	5.557737560872226368e+01	8.399503415581000354e+01
1.285363130633219704e+07	6.088607115770191314e+01	8.398794169617355010e+01
1.284805960733110458e+07	5.273100223478385828e+01	8.326948403346264627e+01
1.284317044836029038e+07	5.818512342817488303e+01	8.369207176097080492e+01
1.284668595198797621e+07	5.305711384703938904e+01	8.373275183552451040e+01
1.285932675305327773e+07	5.567007668423553923e+01	8.311803048873201760e+01
1.284429269288067520e+07	5.871761759257798019e+01	8.325873852240995632e+01
1.285350938630685210e+07	5.262863939787450818e+01	8.330292844825011400e+01
1.285508102971245348e+07	5.288817023185536925e+01	8.371482091511171575e+01
1.284095760011974536e+07	6.078412765974319143e+01	8.491433687092889215e+01
1.285605346350515634e+07	5.358778215126078948e+01	8.306173108029166485e+01
1.285912322387583181e+07	5.586355859082006248e+01	8.313350189038145288e+01
1.285683360627295636e+07	5.202902557802261185e+01	8.388365797585774430e+01
1.284708961912612058e+07	5.320030771780678691e+01	8.409241604639279899e+01
